"A00","Cholera"
"Y34.64","Unspecified event, undetermined intent, Industrial and Construction Area While resting, sleeping, eating or engaging in other vital activities"
"Y34.68","Unspecified event, undetermined intent, Industrial and Construction Area While engaged in other specified activities"
"Y34.69","Unspecified event, undetermined intent, Industrial and Construction Area During unspecified activity"
"Y34.7","Unspecified event, undetermined intent, Farm"
"Y34.70","Unspecified event, undetermined intent, Farm While engaged in sports activity"
"Y34.71","Unspecified event, undetermined intent, Farm While engaged in leisure activity"
"Y34.72","Unspecified event, undetermined intent, Farm While working for income"
"Y34.73","Unspecified event, undetermined intent, Farm While engaged in other types of work"
"Y34.74","Unspecified event, undetermined intent, Farm While resting, sleeping, eating or engaging in other vital activities"
"Y34.78","Unspecified event, undetermined intent, Farm While engaged in other specified activities"
"Y34.79","Unspecified event, undetermined intent, Farm During unspecified activity"
"Y34.8","Unspecified event, undetermined intent, Other Specified Area"
"Y34.80","Unspecified event, undetermined intent, Other Specified Area While engaged in sports activity"
"Y34.81","Unspecified event, undetermined intent, Other Specified Area While engaged in leisure activity"
"Y34.82","Unspecified event, undetermined intent, Other Specified Area While working for income"
"Y34.83","Unspecified event, undetermined intent, Other Specified Area While engaged in other types of work"
"Y34.84","Unspecified event, undetermined intent, Other Specified Area While resting, sleeping, eating or engaging in other vital activities"
"Y34.88","Unspecified event, undetermined intent, Other Specified Area While engaged in other specified activities"
"Y34.89","Unspecified event, undetermined intent, Other Specified Area During unspecified activity"
"Y34.9","Unspecified event, undetermined intent, Unspecified Place"
"Y34.90","Unspecified event, undetermined intent, Unspecified Place While engaged in sports activity"
"Y34.91","Unspecified event, undetermined intent, Unspecified Place While engaged in leisure activity"
"Y34.92","Unspecified event, undetermined intent, Unspecified Place While working for income"
"Y34.93","Unspecified event, undetermined intent, Unspecified Place While engaged in other types of work"
"Y34.94","Unspecified event, undetermined intent, Unspecified Place While resting, sleeping, eating or engaging in other vital activities"
"Y34.98","Unspecified event, undetermined intent, Unspecified Place While engaged in other specified activities"
"Y34.99","Unspecified event, undetermined intent, Unspecified Place During unspecified activity"
"Y35","Legal intervention"
"Y35.0","Legal intervention involving firearm discharge"
"Y35.1","Legal intervention involving explosives"
"Y35.2","Legal intervention involving gas"
"Y35.3","Legal intervention involving blunt objects"
"Y35.4","Legal intervention involving sharp objects"
"Y35.5","Legal execution"
"Y35.6","Legal intervention involving other specified means"
"Y35.7","Legal intervention, means unspecified"
"Y36","Operations of war"
"Y36.0","War operations involving explosion of marine weapons"
"Y36.1","War operations involving destruction of aircraft"
"Y36.2","War operations involving other explosions and fragments"
"Y36.3","War operations involving fires, conflagrations and hot substances"
"Y36.4","War operations involving firearm discharge and other forms of conventional warfare"
"Y36.5","War operations involving nuclear weapons"
"Y36.6","War operations involving biological weapons"
"Y36.7","War operations involving chemical weapons and other forms of unconventional warfare"
"Y36.8","War operations occurring after cessation of hostilities"
"Y36.9","War operations, unspecified"
"Y40","Systemic antibiotics"
"Y40.0","Penicillins"
"Y40.1","Cefalosporins and other beta-lactam antibiotics"
"Y40.2","Chloramphenicol group"
"Y40.3","Macrolides"
"Y40.4","Tetracyclines"
"Y40.5","Aminoglycosides"
"Y40.6","Rifamycins"
"Y40.7","Antifungal antibiotics, systemically used"
"Y40.8","Other systemic antibiotics"
"Y40.9","Systemic antibiotic, unspecified"
"Y41","Other systemic anti-infectives and antiparasitics"
"Y41.0","Sulfonamides"
"Y41.1","Antimycobacterial drugs"
"Y41.2","Antimalarials and drugs acting on other blood protozoa"
"Y41.3","Other antiprotozoal drugs"
"Y41.4","Anthelminthics"
"Y41.5","Antiviral drugs"
"Y41.8","Other specified systemic anti-infectives and antiparasitics"
"Y41.9","Systemic anti-infective and antiparasitic, unspecified"
"Y42","Hormones and their synthetic substitutes and antagonists, not elsewhere classified"
"Y42.0","Glucocorticoids and synthetic analogues"
"Y42.1","Thyroid hormones and substitutes"
"Y42.2","Antithyroid drugs"
"Y42.3","Insulin and oral hypoglycaemic [antidiabetic] drugs"
"Y42.4","Oral contraceptives"
"Y42.5","Other estrogens and progestogens"
"Y42.6","Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified"
"Y42.7","Androgens and anabolic congeners"
"Y42.8","Other and unspecified hormones and their synthetic substitutes"
"Y42.9","Other and unspecified hormone antagonists"
"Y43","Primarily systemic agents"
"Y43.0","Antiallergic and antiemetic drugs"
"Y43.1","Antineoplastic antimetabolites"
"Y43.2","Antineoplastic natural products"
"Y43.3","Other antineoplastic drugs"
"Y43.4","Immunosuppressive agents"
"Y43.5","Acidifying and alkalizing agents"
"Y43.6","Enzymes, not elsewhere classified"
"Y43.8","Other primarily systemic agents, not elsewhere classified"
"Y43.9","Primarily systemic agent, unspecified"
"Y44","Agents primarily affecting blood constituents"
"Y44.0","Iron preparations and other anti-hypochromic-anaemia preparations"
"Y44.1","Vitamin B12, folic acid and other anti-megaloblastic-anaemia preparations"
"Y44.2","Anticoagulants"
"Y44.3","Anticoagulant antagonists, vitamin K and other coagulants"
"Y44.4","Antithrombotic drugs [platelet-aggregation inhibitors]"
"Y44.5","Thrombolytic drugs"
"Y44.6","Natural blood and blood products"
"Y44.7","Plasma substitutes"
"Y44.9","Other and unspecified agents affecting blood constituents"
"Y45","Analgesics, antipyretics and anti-inflammatory drugs"
"Y45.0","Opioids and related analgesics"
"Y45.1","Salicylates"
"Y45.2","Propionic acid derivatives"
"Y45.3","Other nonsteroidal anti-inflammatory drugs [NSAID]"
"Y45.4","Antirheumatics"
"Y45.5","4-Aminophenol derivatives"
"Y45.8","Other analgesics and antipyretics"
"Y45.9","Analgesic, antipyretic and anti-inflammatory drug, unspecified"
"Y46","Antiepileptics and antiparkinsonism drugs"
"Y46.0","Succinimides"
"Y46.1","Oxazolidinediones"
"Y46.2","Hydantoin derivatives"
"Y46.3","Deoxybarbiturates"
"Y46.4","Iminostilbenes"
"Y46.5","Valproic acid"
"Y46.6","Other and unspecified antiepileptics"
"Y46.7","Antiparkinsonism drugs"
"Y46.8","Antispasticity drugs"
"Y47","Sedatives, hypnotics and antianxiety drugs"
"Y47.0","Barbiturates, not elsewhere classified"
"Y47.1","Benzodiazepines"
"Y47.2","Cloral derivatives"
"Y47.3","Paraldehyde"
"Y47.4","Bromine compounds"
"Y47.5","Mixed sedatives and hypnotics, not elsewhere classified"
"Y47.8","Other sedatives, hypnotics and antianxiety drugs"
"Y47.9","Sedative, hypnotic and antianxiety drug, unspecified"
"Y48","Anaesthetics and therapeutic gases"
"Y48.0","Inhaled anaesthetics"
"Y48.1","Parenteral anaesthetics"
"Y48.2","Other and unspecified general anaesthetics"
"Y48.3","Local anaesthetics"
"Y48.4","Anaesthetic, unspecified"
"Y48.5","Therapeutic gases"
"Y49","Psychotropic drugs, not elsewhere classified"
"Y49.0","Tricyclic and tetracyclic antidepressants"
"Y49.1","Monoamine-oxidase-inhibitor antidepressants"
"Y49.2","Other and unspecified antidepressants"
"Y49.3","Phenothiazine antipsychotics and neuroleptics"
"Y49.4","Butyrophenone and thioxanthene neuroleptics"
"Y49.5","Other antipsychotics and neuroleptics"
"Y49.6","Psychodysleptics [hallucinogens]"
"Y49.7","Psychostimulants with abuse potential"
"Y49.8","Other psychotropic drugs, not elsewhere classified"
"Y49.9","Psychotropic drug, unspecified"
"Y50","Central nervous system stimulants, not elsewhere classified"
"Y50.0","Analeptics"
"Y50.1","Opioid receptor antagonists"
"Y50.2","Methylxanthines, not elsewhere classified"
"Y50.8","Other central nervous system stimulants"
"Y50.9","Central nervous system stimulant, unspecified"
"Y51","Drugs primarily affecting the autonomic nervous system"
"Y51.0","Anticholinesterase agents"
"Y51.1","Other parasympathomimetics [cholinergics]"
"Y51.2","Ganglionic blocking drugs, not elsewhere classified"
"Y51.3","Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified"
"Y51.4","Predominantly alpha-adrenoreceptor agonists, not elsewhere classified"
"Y51.5","Predominantly beta-adrenoreceptor agonists, not elsewhere classified"
"Y51.6","Alpha-adrenoreceptor antagonists, not elsewhere classified"
"Y51.7","Beta-adrenoreceptor antagonists, not elsewhere classified"
"Y51.8","Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified"
"Y51.9","Other and unspecified drugs primarily affecting the autonomic nervous system"
"Y52","Agents primarily affecting the cardiovascular system"
"Y52.0","Cardiac-stimulant glycosides and drugs of similar action"
"Y52.1","Calcium-channel blockers"
"Y52.2","Other antidysrhythmic drugs, not elsewhere classified"
"Y52.3","Coronary vasodilators, not elsewhere classified"
"Y52.4","Angiotensin-converting-enzyme inhibitors"
"Y52.5","Other antihypertensive drugs, not elsewhere classified"
"Y52.6","Antihyperlipidaemic and antiarteriosclerotic drugs"
"Y52.7","Peripheral vasodilators"
"Y52.8","Antivaricose drugs, including sclerosing agents"
"Y52.9","Other and unspecified agents primarily affecting the cardiovascular system"
"Y53","Agents primarily affecting the gastrointestinal system"
"Y53.0","Histamine H2-receptor antagonists"
"Y53.1","Other antacids and anti-gastric-secretion drugs"
"Y53.2","Stimulant laxatives"
"Y53.3","Saline and osmotic laxatives"
"Y53.4","Other laxatives"
"Y53.5","Digestants"
"Y53.6","Antidiarrhoeal drugs"
"Y53.7","Emetics"
"Y53.8","Other agents primarily affecting the gastrointestinal system"
"Y53.9","Agent primarily affecting the gastrointestinal system, unspecified"
"Y54","Agents primarily affecting water-balance and mineral and uric acid metabolism"
"Y54.0","Mineralocorticoids"
"Y54.1","Mineralocorticoid antagonists [aldosterone antagonists]"
"Y54.2","Carbonic-anhydrase inhibitors"
"Y54.3","Benzothiadiazine derivatives"
"Y54.4","Loop [high-ceiling] diuretics"
"Y54.5","Other diuretics"
"Y54.6","Electrolytic, caloric and water-balance agents"
"Y54.7","Agents affecting calcification"
"Y54.8","Agents affecting uric acid metabolism"
"Y54.9","Mineral salts, not elsewhere classified"
"Y55","Agents primarily acting on smooth and skeletal muscles and the respiratory system"
"Y55.0","Oxytocic drugs"
"Y55.1","Skeletal muscle relaxants [neuromuscular blocking agents]"
"Y55.2","Other and unspecified agents primarily acting on muscles"
"Y55.3","Antitussives"
"Y55.4","Expectorants"
"Y55.5","Anti-common-cold drugs"
"Y55.6","Antiasthmatics, not elsewhere classified"
"Y55.7","Other and unspecified agents primarily acting on the respiratory system"
"Y56","Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs"
"Y56.0","Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified"
"Y56.1","Antipruritics"
"Y56.2","Local astringents and local detergents"
"Y56.3","Emollients, demulcents and protectants"
"Y56.4","Keratolytics, keratoplastics and other hair treatment drugs and preparations"
"Y56.5","Ophthalmological drugs and preparations"
"Y56.6","Otorhinolaryngological drugs and preparations"
"Y56.7","Dental drugs, topically applied"
"Y56.8","Other topical agents"
"Y56.9","Topical agent, unspecified"
"Y57","Other and unspecified drugs and medicaments"
"Y57.0","Appetite depressants [anorectics]"
"Y57.1","Lipotropic drugs"
"Y57.2","Antidotes and chelating agents, not elsewhere classified"
"Y57.3","Alcohol deterrents"
"Y57.4","Pharmaceutical excipients"
"Y57.5","X-ray contrast media"
"Y57.6","Other diagnostic agents"
"Y57.7","Vitamins, not elsewhere classified"
"Y57.8","Other drugs and medicaments"
"Y57.9","Drug or medicament, unspecified"
"Y58","Bacterial vaccines"
"Y58.0","BCG vaccine"
"Y58.1","Typhoid and paratyphoid vaccine"
"Y58.2","Cholera vaccine"
"Y58.3","Plague vaccine"
"Y58.4","Tetanus vaccine"
"Y58.5","Diphtheria vaccine"
"Y58.6","Pertussis vaccine, including combinations with a pertussis component"
"Y58.8","Mixed bacterial vaccines, except combinations with a pertussis component"
"Y58.9","Other and unspecified bacterial vaccines"
"Y59","Other and unspecified vaccines and biological substances"
"Y59.0","Viral vaccines"
"Y59.1","Rickettsial vaccines"
"Y59.2","Protozoal vaccines"
"Y59.3","Immunoglobulin"
"Y59.8","Other specified vaccines and biological substances"
"Y59.9","Vaccine or biological substance, unspecified"
"Y60","Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care"
"Y60.0","During surgical operation"
"Y60.1","During infusion or transfusion"
"Y60.2","During kidney dialysis or other perfusion"
"Y60.3","During injection or immunization"
"Y60.4","During endoscopic examination"
"Y60.5","During heart catheterization"
"Y60.6","During aspiration, puncture and other catheterization"
"Y60.7","During administration of enema"
"Y60.8","During other surgical and medical care"
"Y60.9","During unspecified surgical and medical care"
"Y61","Foreign object accidentally left in body during surgical and medical care"
"Y61.0","During surgical operation"
"Y61.1","During infusion or transfusion"
"Y61.2","During kidney dialysis or other perfusion"
"Y61.3","During injection or immunization"
"Y61.4","During endoscopic examination"
"Y61.5","During heart catheterization"
"Y61.6","During aspiration, puncture and other catheterization"
"Y61.7","During removal of catheter or packing"
"Y61.8","During other surgical and medical care"
"Y61.9","During unspecified surgical and medical care"
"Y62","Failure of sterile precautions during surgical and medical care"
"Y62.0","During surgical operation"
"Y62.1","During infusion or transfusion"
"Y62.2","During kidney dialysis or other perfusion"
"Y62.3","During injection or immunization"
"Y62.4","During endoscopic examination"
"Y62.5","During heart catheterization"
"Y62.6","During aspiration, puncture and other catheterization"
"Y62.8","During other surgical and medical care"
"Y62.9","During unspecified surgical and medical care"
"Y63","Failure in dosage during surgical and medical care"
"Y63.0","Excessive amount of blood or other fluid given during transfusion or infusion"
"Y63.1","Incorrect dilution of fluid used during infusion"
"Y63.2","Overdose of radiation given during therapy"
"Y63.3","Inadvertent exposure of patient to radiation during medical care"
"Y63.4","Failure in dosage in electroshock or insulin-shock therapy"
"Y63.5","Inappropriate temperature in local application and packing"
"Y63.6","Nonadministration of necessary drug, medicament or biological substance"
"Y63.8","Failure in dosage during other surgical and medical care"
"Y63.9","Failure in dosage during unspecified surgical and medical care"
"Y64","Contaminated medical or biological substances"
"Y64.0","Contaminated medical or biological substance, transfused or infused"
"Y64.1","Contaminated medical or biological substance, injected or used for immunization"
"Y64.8","Contaminated medical or biological substance administered by other means"
"Y64.9","Contaminated medical or biological substance administered by unspecified means"
"Y65","Other misadventures during surgical and medical care"
"Y65.0","Mismatched blood used in transfusion"
"Y65.1","Wrong fluid used in infusion"
"Y65.2","Failure in suture or ligature during surgical operation"
"Y65.3","Endotracheal tube wrongly placed during anaesthetic procedure"
"Y65.4","Failure to introduce or to remove other tube or instrument"
"Y65.5","Performance of inappropriate operation"
"Y65.8","Other specified misadventures during surgical and medical care"
"Y66","Nonadministration of surgical and medical care"
"Y69","Unspecified misadventure during surgical and medical care"
"Y70","Anaesthesiology devices associated with adverse incidents"
"Y70.0","Anaesthesiology devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y70.1","Anaesthesiology devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y70.2","Anaesthesiology devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y70.3","Anaesthesiology devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y70.8","Anaesthesiology devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y71","Cardiovascular devices associated with adverse incidents"
"Y71.0","Cardiovascular devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y71.1","Cardiovascular devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y71.2","Cardiovascular devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y71.3","Cardiovascular devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y71.8","Cardiovascular devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y72","Otorhinolaryngological devices associated with adverse incidents"
"Y72.0","Otorhinolaryngological devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y72.1","Otorhinolaryngological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y72.2","Otorhinolaryngological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y72.3","Otorhinolaryngological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y72.8","Otorhinolaryngological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y73","Gastroenterology and urology devices associated with adverse incidents"
"Y73.0","Gastroenterology and urology devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y73.1","Gastroenterology and urology devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y73.2","Gastroenterology and urology devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y73.3","Gastroenterology and urology devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y73.8","Gastroenterology and urology devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y74","General hospital and personal-use devices associated with adverse incidents"
"Y74.0","General hospital and personal-use devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y74.1","General hospital and personal-use devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y74.2","General hospital and personal-use devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y74.3","General hospital and personal-use devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y74.8","General hospital and personal-use devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y75","Neurological devices associated with adverse incidents"
"Y75.0","Neurological devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y75.1","Neurological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y75.2","Neurological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y75.3","Neurological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y75.8","Neurological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y76","Obstetric and gynaecological devices associated with adverse incidents"
"Y76.0","Obstetric and gynaecological devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y76.1","Obstetric and gynaecological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y76.2","Obstetric and gynaecological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y76.3","Obstetric and gynaecological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y76.8","Obstetric and gynaecological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y77","Ophthalmic devices associated with adverse incidents"
"Y77.0","Ophthalmic devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y77.1","Ophthalmic devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y77.2","Ophthalmic devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y77.3","Ophthalmic devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y77.8","Ophthalmic devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y78","Radiological devices associated with adverse incidents"
"Y78.0","Radiological devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y78.1","Radiological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y78.2","Radiological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y78.3","Radiological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y78.8","Radiological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y79","Orthopaedic devices associated with adverse incidents"
"Y79.0","Orthopaedic devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y79.1","Orthopaedic devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y79.2","Orthopaedic devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y79.3","Orthopaedic devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y79.8","Orthopaedic devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y80","Physical medicine devices associated with adverse incidents"
"Y80.0","Physical medicine devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y80.1","Physical medicine devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y80.2","Physical medicine devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y80.3","Physical medicine devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y80.8","Physical medicine devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y81","General- and plastic-surgery devices associated with adverse incidents"
"Y81.0","General- and plastic-surgery devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y81.1","General- and plastic-surgery devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y81.2","General- and plastic-surgery devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y81.3","General- and plastic-surgery devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y81.8","General- and plastic-surgery devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y82","Other and unspecified medical devices associated with adverse incidents"
"Y82.0","Other and unspecified medical devices associated with adverse incidents: Diagnostic and monitoring devices"
"Y82.1","Other and unspecified medical devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices"
"Y82.2","Other and unspecified medical devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices"
"Y82.3","Other and unspecified medical devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)"
"Y82.8","Other and unspecified medical devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified"
"Y83","Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y83.0","Surgical operation with transplant of whole organ"
"Y83.1","Surgical operation with implant of artificial internal device"
"Y83.2","Surgical operation with anastomosis, bypass or graft"
"Y83.3","Surgical operation with formation of external stoma"
"Y83.4","Other reconstructive surgery"
"Y83.5","Amputation of limb(s)"
"Y83.6","Removal of other organ (partial) (total)"
"Y83.8","Other surgical procedures"
"Y83.9","Surgical procedure, unspecified"
"Y84","Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y84.0","Cardiac catheterization"
"Y84.1","Kidney dialysis"
"Y84.2","Radiological procedure and radiotherapy"
"Y84.3","Shock therapy"
"Y84.4","Aspiration of fluid"
"Y84.5","Insertion of gastric or duodenal sound"
"Y84.6","Urinary catheterization"
"Y84.7","Blood-sampling"
"Y84.8","Other medical procedures"
"Y84.9","Medical procedure, unspecified"
"Y85","Sequelae of transport accidents"
"Y85.0","Sequelae of motor-vehicle accident"
"Y85.9","Sequelae of other and unspecified transport accidents"
"Y86","Sequelae of other accidents"
"Y87","Sequelae of intentional self-harm, assault and events of undetermined intent"
"Y87.0","Sequelae of intentional self-harm"
"Y87.1","Sequelae of assault"
"Y87.2","Sequelae of events of undetermined intent"
"Y88","Sequelae with surgical and medical care as external cause"
"Y88.0","Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use"
"Y88.1","Sequelae of misadventures to patients during surgical and medical procedures"
"Y88.2","Sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use"
"Y88.3","Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"Y89","Sequelae of other external causes"
"Y89.0","Sequelae of legal intervention"
"Y89.1","Sequelae of war operations"
"Y89.9","Sequelae of unspecified external cause"
"Y90","Evidence of alcohol involvement determined by blood alcohol level"
"Y90.0","Blood alcohol level of less than 20 mg/100 ml"
"Y90.1","Blood alcohol level of 20-39 mg/100 ml"
"Y90.2","Blood alcohol level of 40-59 mg/100 ml"
"Y90.3","Blood alcohol level of 60-79 mg/100 ml"
"Y90.4","Blood alcohol level of 80-99 mg/100 ml"
"Y90.5","Blood alcohol level of 100-119 mg/100 ml"
"Y90.6","Blood alcohol level of 120-199 mg/100 ml"
"Y90.7","Blood alcohol level of 200-239 mg/100 ml"
"Y90.8","Blood alcohol level of 240 mg/100 ml or more"
"Y90.9","Presence of alcohol in blood, level not specified"
"Y91","Evidence of alcohol involvement determined by level of intoxication"
"Y91.0","Mild alcohol intoxication"
"Y91.1","Moderate alcohol intoxication"
"Y91.2","Severe alcohol intoxication"
"Y91.3","Very severe alcohol intoxication"
"Y91.9","Alcohol involvement, not otherwise specified"
"Y95","Nosocomial condition"
"Y96","Work-related condition"
"Y97","Environmental-pollution-related condition"
"Y98","Lifestyle-related condition"
"Z00","General examination and investigation of persons without complaint and reported diagnosis"
"Z00.0","General medical examination"
"Z00.1","Routine child health examination"
"Z00.2","Examination for period of rapid growth in childhood"
"Z00.3","Examination for adolescent development state"
"Z00.4","General psychiatric examination, nec"
"Z00.5","Examination of potential donor of organ and tissue"
"Z00.6","Exam normal comparison and control in clin research program"
"Z00.8","Other general examinations"
"Z01","Other special examinations and investigations of persons without complaint or reported diagnosis"
"Z01.0","Examination of eyes and vision"
"Z01.1","Examination of ears and hearing"
"Z01.2","Dental examination"
"Z01.3","Examination of blood pressure"
"Z01.4","Gynaecological examination (general)(routine)"
"Z01.5","Diagnostic skin and sensitization tests"
"Z01.6","Radiological examination, nec"
"Z01.7","Laboratory examination"
"Z01.8","Other specified special examinations"
"Z01.9","Special examination, unspecified"
"Z02","Examination and encounter for administrative purposes"
"Z02.0","Examination for admission to educational institution"
"Z02.1","Pre-employment examination"
"Z02.2","Examination for admission to residential institutions"
"Z02.3","Examination for recruitment to armed forces"
"Z02.4","Examination for driving licence"
"Z02.5","Examination for participation in sport"
"Z02.6","Examination for insurance purposes"
"Z02.7","Issue of medical certificate"
"Z02.8","Other examinations for administrative purposes"
"Z02.9","Examination for administrative purposes, unspecified"
"Z03","Medical observation and evaluation for suspected diseases and conditions"
"Z03.0","Observation for suspected tuberculosis"
"Z03.1","Observation for suspected malignant neoplasm"
"Z03.2","Observation for suspected mental and behavioural disorders"
"Z03.3","Observation for suspected nervous system disorder"
"Z03.4","Observation for suspected myocardial infarction"
"Z03.5","Observation for other suspected cardiovascular diseases"
"Z03.6","Observation for suspected toxic effect from ingested substances"
"Z03.8","Observation for other suspected diseases and conditions"
"Z03.9","Observation for suspected disease or condition, unspecified"
"Z04","Examination and observation for other reasons"
"Z04.0","Blood-alcohol and blood-drug test"
"Z04.1","Examination and observation following transport accident"
"Z04.2","Examination and observation following work accident"
"Z04.3","Examination and observation following other accident"
"Z04.4","Exam and observation following alleged rape and seduction"
"Z04.5","Examination and observation following other inflicted injury"
"Z04.6","General psychiatric examination, requested by authority"
"Z04.8","Examination and observation for other specified reasons"
"Z04.9","Examination and observation for unspecified reason"
"Z08","Follow-up examination after treatment for malignant neoplasms"
"Z08.0","Follow-up examination after surgery for malignant neoplasm"
"Z08.1","Follow-up examination after radiotherapy for malignant neoplasm"
"Z08.2","Follow-up examination after chemotherapy for malignant neoplasm"
"Z08.7","Follow-up examination after combined treatment for malig neoplasm"
"Z08.8","Follow-up examination after other treatment for malignant neoplasm"
"Z08.9","Follow-up examination after unspecified treatment for malignant neoplasm"
"Z09","Follow-up examination after treatment for conditions other than malignant neoplasms"
"Z09.0","Follow-up examination after surgery for other conditions"
"Z09.1","Follow-up examination after radiotherapy for oth conditions"
"Z09.2","Follow-up examination after chemotherapy for oth conditions"
"Z09.3","Follow-up examination after psychotherapy"
"Z09.4","Follow-up examination after treatment of fracture"
"Z09.7","Follow-up exam after combined treatment for other conditions"
"Z09.8","Follow-up exam after other treatment for other conditions"
"Z09.9","Follow-up exam after unspecified treatment for other conditions"
"Z10","Routine general health check-up of defined subpopulation"
"Z10.0","Occupational health examination"
"Z10.1","Routine gen health check-up of inhabitants of institutions"
"Z10.2","Routine general health check-up of armed forces"
"Z10.3","Routine general health check-up of sports teams"
"Z10.8","Routine general health check-up of other defined subpopulations"
"Z11","Special screening examination for infectious and parasitic diseases"
"Z11.0","Special screening examination for intestinal infectious diseases"
"Z11.1","Special screening examination for respiratory tuberculosis"
"Z11.2","Special screening examination for other bacterial diseases"
